SEASON,MONTH,HOUR,HOLIDAY,WEEKDAY,WORKINGDAY,WEATHERSIT,TEMP,ATEMP,HUM,WINDSPEED,USERS
1,2,10,0,4,1,1,0.38,0.3939,0.54,0.194,88
3,9,23,0,0,0,3,0.58,0.5455,0.78,0.0896,45
4,12,4,0,6,0,1,0.26,0.2879,0.81,0.0896,5
2,5,19,0,5,1,1,0.7,0.6515,0.51,0.1343,452
3,9,12,0,6,0,1,0.66,0.6212,0.36,0.3582,706
2,4,7,0,5,1,1,0.34,0.3182,0.61,0.2239,296
2,4,3,0,3,1,1,0.3,0.2879,0.49,0.2239,2
2,5,18,0,0,0,1,0.56,0.5303,0.78,0.2537,237
3,7,7,0,0,0,1,0.74,0.697,0.7,0,50
2,5,9,0,2,1,2,0.54,0.5152,0.88,0.2537,207
2,5,5,0,5,1,1,0.56,0.5303,0.88,0.194,24
2,5,8,0,6,0,1,0.58,0.5455,0.83,0.0896,197
2,5,4,0,3,1,2,0.48,0.4697,0.88,0.1343,2
3,7,9,0,0,0,1,0.7,0.6667,0.74,0.2537,181
4,12,6,0,1,1,1,0.36,0.3788,0.93,0,138
2,6,10,0,4,1,1,0.6,0.6061,0.64,0.0896,210
2,6,14,0,4,1,1,0.92,0.8788,0.4,0.194,118
4,12,14,0,1,1,2,0.5,0.4848,0.94,0.2239,210
1,3,0,0,3,1,1,0.22,0.2273,0.69,0.1642,8
2,5,3,0,6,0,1,0.56,0.5303,0.88,0.2239,15
3,6,17,0,6,0,1,0.82,0.7121,0.26,0.2537,530
1,1,22,0,1,1,2,0.16,0.1818,0.59,0.1045,34
3,9,19,0,5,1,2,0.5,0.4848,0.55,0.1642,315
3,7,20,0,2,1,1,0.74,0.7273,0.74,0.0896,277
1,2,7,1,1,0,2,0.42,0.4242,0.26,0.2836,19
3,9,17,0,3,1,1,0.7,0.6364,0.41,0.2985,925
2,6,15,0,3,1,1,0.64,0.6212,0.38,0,300
1,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,62
3,9,20,0,6,0,1,0.6,0.6212,0.43,0.0896,330
4,10,12,0,6,0,1,0.58,0.5455,0.35,0.5522,456
1,12,7,0,6,0,1,0.26,0.2273,0.44,0.4179,20
3,7,16,1,3,0,1,0.92,0.8485,0.35,0.2537,389
3,9,7,0,0,0,1,0.66,0.6061,0.78,0.194,30
4,12,11,0,4,1,2,0.4,0.4091,0.62,0.4179,135
2,3,0,0,4,1,1,0.54,0.5152,0.68,0.194,48
2,5,0,0,3,1,3,0.6,0.5606,0.83,0.2239,35
2,5,3,0,0,0,1,0.5,0.4848,1,0.1045,33
1,1,5,0,5,1,1,0.24,0.197,0.6,0.4179,5
2,5,18,0,3,1,3,0.52,0.5,0.77,0.5821,372
3,7,23,0,0,0,1,0.7,0.6515,0.7,0,100
4,10,9,0,6,0,3,0.4,0.4091,0.82,0.3582,129
4,11,6,0,0,0,1,0.28,0.2727,0.81,0.1642,15
3,9,14,0,6,0,2,0.86,0.7879,0.44,0.1642,514
1,1,18,0,1,1,1,0.14,0.1364,0.59,0.194,153
1,2,10,0,2,1,1,0.16,0.1818,0.69,0,44
4,11,13,0,6,0,1,0.4,0.4091,0.37,0.1045,355
1,12,21,0,1,1,3,0.24,0.2576,0.93,0.0896,22
2,5,2,0,5,1,2,0.62,0.5758,0.83,0,23
1,2,21,0,5,1,1,0.58,0.5455,0.21,0.4925,72
4,11,11,0,5,1,2,0.44,0.4394,0.67,0.4478,162
1,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,89
4,11,11,0,6,0,1,0.36,0.3788,0.4,0,233
2,4,5,0,4,1,1,0.34,0.3485,0.76,0.0896,14
3,6,11,0,3,1,1,0.74,0.6515,0.3,0.3284,209
2,5,14,0,6,0,1,0.72,0.6515,0.3,0.0896,730
4,12,5,0,5,1,1,0.22,0.2576,0.8,0.0896,23
2,4,1,0,2,1,1,0.62,0.5909,0.73,0.2836,21
2,4,7,0,3,1,2,0.5,0.4848,0.39,0.194,418
1,12,21,0,5,1,1,0.26,0.2273,0.41,0.4179,70
4,10,22,0,1,1,3,0.54,0.5152,0.77,0.0896,207
2,6,1,0,1,1,1,0.66,0.6212,0.74,0.1642,24
4,11,5,0,5,1,1,0.3,0.2879,0.56,0.194,27
1,3,4,0,5,1,2,0.4,0.4091,0.87,0.2537,3
2,4,6,0,5,1,1,0.5,0.4848,0.45,0.2836,71
1,2,16,0,3,1,1,0.46,0.4545,0.31,0.3881,122
1,2,2,0,3,1,1,0.44,0.4394,0.44,0.2836,7
2,6,6,0,4,1,2,0.72,0.7121,0.84,0.0896,118
4,11,23,0,3,1,1,0.36,0.3636,0.76,0.0896,57
1,3,3,0,3,1,1,0.48,0.4697,0.72,0.194,4
3,8,13,0,4,1,1,0.82,0.7273,0.38,0.0896,346
3,8,5,0,1,1,2,0.6,0.5606,0.83,0,37
4,12,0,0,0,0,2,0.36,0.3788,0.62,0,110
1,2,9,0,1,1,1,0.12,0.1364,0.5,0.194,205
3,7,13,0,5,1,1,0.94,0.9848,0.51,0.1642,123
3,6,16,0,5,1,1,0.8,0.697,0.33,0.4179,327
1,1,15,0,0,0,1,0.36,0.3333,0.25,0.2836,310
3,9,3,0,6,0,1,0.62,0.5909,0.73,0.1642,35
4,10,8,0,1,1,2,0.6,0.6061,0.64,0.3881,737
1,1,4,0,6,0,2,0.16,0.2273,0.59,0,5
2,6,5,0,2,1,1,0.58,0.5455,0.88,0.1642,32
1,1,17,1,1,0,1,0.26,0.2273,0.35,0.3881,153
3,9,8,0,4,1,3,0.62,0.5455,0.94,0.1343,195
1,3,20,0,2,1,1,0.6,0.6212,0.49,0.1642,351
3,7,11,0,0,0,1,0.82,0.7727,0.52,0.1642,451
4,9,11,0,3,1,2,0.66,0.6061,0.83,0.1045,151
2,6,10,0,0,0,1,0.58,0.5455,0.64,0,436
2,4,3,0,2,1,1,0.54,0.5152,0.88,0.2836,21
3,6,23,0,4,1,1,0.74,0.6667,0.48,0.1343,171
2,6,0,0,1,1,1,0.66,0.6061,0.83,0.1642,26
1,2,17,0,0,0,1,0.18,0.1515,0.37,0.4179,87
2,4,10,0,2,1,1,0.6,0.6212,0.38,0.4179,217
3,7,10,0,0,0,1,0.76,0.7273,0.66,0.1343,382
4,10,0,0,0,0,3,0.36,0.3333,0.93,0.2985,47
2,3,11,0,1,1,2,0.26,0.2424,0.3,0.2836,57
2,3,9,0,3,1,2,0.32,0.303,0.81,0.2537,182
1,2,8,0,5,1,3,0.36,0.3485,0.93,0.1343,73
4,10,1,0,3,1,3,0.56,0.5303,0.83,0.1343,10
4,10,20,0,6,0,1,0.5,0.4848,0.48,0.1343,179
2,4,13,0,1,1,2,0.64,0.6061,0.69,0.4179,139
2,4,13,0,4,1,1,0.56,0.5303,0.37,0.2239,159
4,11,2,0,4,1,1,0.34,0.3333,0.76,0.1343,7
4,11,0,0,3,1,2,0.46,0.4545,0.94,0,31
4,10,11,0,5,1,1,0.7,0.6515,0.48,0.194,304
2,5,4,0,6,0,2,0.5,0.4848,0.82,0.1642,5
2,4,17,0,3,1,1,0.46,0.4545,0.67,0.2985,309
4,11,1,0,6,0,1,0.26,0.2273,0.52,0.2985,35
4,12,11,0,6,0,1,0.32,0.2879,0.53,0.4179,236
3,8,8,0,0,0,1,0.76,0.7273,0.66,0.3284,108
4,9,21,0,5,1,3,0.6,0.6212,0.53,0.194,237
1,2,14,0,4,1,1,0.54,0.5152,0.37,0.2537,192
3,8,3,0,2,1,1,0.72,0.6818,0.62,0,3
4,12,8,0,2,1,2,0.42,0.4242,0.54,0.0896,432
2,5,18,0,6,0,1,0.58,0.5455,0.37,0.1642,289
2,4,16,0,4,1,1,0.6,0.6212,0.35,0,213
2,4,22,0,0,0,1,0.44,0.4394,0.94,0.2537,57
2,6,22,0,3,1,1,0.76,0.7424,0.75,0.1642,176
4,11,5,0,4,1,1,0.2,0.2576,0.69,0,42
3,8,18,0,3,1,1,0.82,0.7121,0.28,0.2985,559
4,12,13,0,2,1,3,0.46,0.4545,1,0.194,71
1,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,97
4,11,9,0,1,1,2,0.44,0.4394,0.88,0.2239,208
3,8,1,0,5,1,1,0.7,0.6667,0.74,0.194,43
4,9,10,0,6,0,2,0.6,0.5455,0.88,0.0896,293
2,4,3,0,3,1,3,0.4,0.4091,0.94,0.3284,2
1,2,11,0,6,0,1,0.32,0.3333,0.57,0.1343,286
3,8,6,0,4,1,2,0.6,0.5455,0.88,0.0896,192
2,4,5,0,5,1,1,0.34,0.3182,0.53,0.2239,16
3,8,5,0,0,0,1,0.7,0.6667,0.89,0.194,5
1,2,1,0,3,1,1,0.28,0.2727,0.61,0.1642,10
2,5,20,0,6,0,3,0.54,0.5152,0.94,0.1343,157
4,10,22,0,3,1,2,0.58,0.5455,0.94,0.3582,107
3,9,0,0,5,1,1,0.54,0.5152,0.68,0,66
2,4,22,0,1,1,1,0.42,0.4242,0.44,0.194,123
4,12,8,0,4,1,2,0.3,0.3333,0.7,0,599
3,9,14,0,5,1,2,0.7,0.6515,0.61,0.1045,283
4,11,21,0,2,1,1,0.36,0.3788,0.81,0,127
2,6,15,0,6,0,1,0.74,0.6515,0.35,0.2537,583
1,2,8,0,2,1,1,0.2,0.1818,0.32,0.3582,223
4,12,8,0,1,1,2,0.38,0.3939,0.87,0.1045,592
1,2,3,0,3,1,2,0.2,0.197,0.47,0.194,1
2,4,19,0,1,1,1,0.52,0.5,0.34,0.3582,421
3,9,6,0,2,1,2,0.64,0.5758,0.89,0.3284,167
4,11,3,0,0,0,1,0.22,0.2727,0.44,0,8
3,8,15,0,3,1,1,0.8,0.7273,0.43,0.1343,159
1,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,1
2,4,19,0,0,0,1,0.56,0.5303,0.3,0.2985,210
3,7,10,0,2,1,1,0.82,0.7879,0.56,0.2985,218
3,9,7,0,4,1,2,0.7,0.6667,0.84,0.1045,482
2,4,12,0,0,0,2,0.42,0.4242,0.88,0.1343,230
2,4,12,0,2,1,2,0.54,0.5152,0.64,0.0896,103
3,8,13,0,2,1,2,0.8,0.7424,0.52,0.194,253
3,9,8,0,1,1,1,0.54,0.5152,0.77,0.0896,683
4,12,10,0,1,1,1,0.44,0.4394,0.77,0.1343,136
1,1,19,1,1,0,1,0.24,0.2273,0.38,0.2239,93
4,12,18,0,6,0,1,0.34,0.3333,0.53,0.1343,224
2,6,3,0,1,1,2,0.52,0.5,0.83,0.2239,4
3,7,22,0,1,1,2,0.7,0.6667,0.74,0.2239,230
2,5,3,0,2,1,3,0.58,0.5455,0.83,0.1343,6
3,6,11,0,5,1,2,0.9,0.8485,0.42,0.2836,188
4,12,5,0,1,1,1,0.16,0.2273,0.8,0,21
3,6,12,0,2,1,1,0.66,0.6212,0.34,0.4478,308
1,3,19,0,1,1,1,0.62,0.6061,0.61,0.2239,549
3,6,15,0,0,0,1,0.86,0.7424,0.28,0.2239,487
2,6,14,0,0,0,1,0.7,0.6515,0.58,0.1642,385
2,4,8,0,3,1,3,0.38,0.3939,0.94,0.194,164
3,7,1,0,1,1,2,0.76,0.7121,0.58,0.194,17
4,10,22,0,5,1,1,0.6,0.5909,0.73,0.2836,264
3,7,19,0,3,1,1,0.76,0.6667,0.33,0.1343,698
1,3,3,0,6,0,2,0.44,0.4394,0.88,0,26
2,5,3,0,3,1,3,0.56,0.5303,0.88,0.1642,2
2,5,23,0,3,1,1,0.66,0.6212,0.65,0.1045,160
1,3,13,0,4,1,1,0.22,0.2576,0.25,0.0896,80
1,2,19,0,4,1,1,0.48,0.4697,0.55,0.3284,175
1,1,18,0,1,1,2,0.16,0.1515,0.55,0.2239,156
1,2,3,0,4,1,1,0.2,0.2121,0.64,0.1343,2
2,3,3,0,4,1,1,0.58,0.5455,0.28,0.2537,5
2,6,4,0,3,1,1,0.6,0.5606,0.83,0.1343,10
3,8,1,0,3,1,1,0.66,0.6061,0.83,0.0896,33
3,8,21,0,0,0,1,0.72,0.697,0.79,0.1045,208
3,9,2,0,4,1,1,0.72,0.697,0.79,0,8
1,2,2,0,3,1,1,0.12,0.1515,0.5,0.1343,1
3,6,3,0,2,1,2,0.66,0.6212,0.74,0,2
1,2,3,0,2,1,2,0.26,0.303,0.52,0,3
1,2,18,0,1,1,2,0.34,0.3333,0.66,0.1343,175
4,12,7,0,4,1,1,0.24,0.2273,0.6,0.2239,385
1,3,22,0,2,1,2,0.32,0.3182,0.87,0.1642,21
2,6,8,0,5,1,1,0.58,0.5455,0.6,0.0896,700
2,5,19,0,4,1,1,0.64,0.6212,0.31,0.194,537
2,5,2,0,1,1,1,0.5,0.4848,1,0.0896,13
4,11,7,0,6,0,1,0.26,0.2424,0.6,0.2836,34
1,1,20,0,4,1,2,0.4,0.4091,0.82,0.1343,224
4,9,16,0,0,0,1,0.64,0.6212,0.36,0.2239,648
3,6,8,0,2,1,2,0.62,0.5606,0.88,0.1045,401
3,9,23,0,2,1,3,0.54,0.5152,0.94,0.2537,58
2,4,3,0,4,1,1,0.34,0.3333,0.81,0.1343,2
4,12,7,0,2,1,2,0.36,0.3788,0.62,0,268
1,1,18,0,6,0,1,0.08,0.0909,0.35,0.194,54
