SEASON,MONTH,HOUR,HOLIDAY,WEEKDAY,WORKINGDAY,WEATHERSIT,TEMP,ATEMP,HUM,WINDSPEED,USERS
2,5,18,0,2,1,1,0.6,0.5909,0.69,0.2985,480
3,8,19,0,0,0,1,0.72,0.697,0.74,0.2239,259
4,12,17,0,1,1,1,0.42,0.4242,0.77,0,446
1,1,6,0,5,1,2,0.18,0.197,0.8,0.1343,16
2,4,18,0,3,1,3,0.66,0.6061,0.83,0.3881,412
2,5,11,0,1,1,1,0.64,0.6212,0.57,0,185
2,3,17,0,2,1,1,0.44,0.4394,0.16,0,614
1,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,52
2,5,17,0,6,0,1,0.74,0.6515,0.3,0.0896,626
3,7,19,0,0,0,1,0.76,0.697,0.55,0.1642,443
1,3,3,0,0,0,1,0.24,0.2424,0.6,0.1343,66
1,2,13,0,3,1,2,0.28,0.2879,0.61,0.1045,126
4,11,0,0,5,1,1,0.28,0.3182,0.65,0,32
2,3,14,0,5,1,1,0.36,0.3333,0.32,0.3284,133
2,6,5,0,1,1,1,0.64,0.5909,0.78,0.1343,37
4,12,19,0,1,1,1,0.5,0.4848,0.68,0.0896,471
2,4,5,0,3,1,3,0.38,0.3939,0.94,0.2537,5
2,5,20,1,1,0,1,0.76,0.7121,0.58,0,237
3,7,18,0,2,1,2,0.86,0.7424,0.3,0,627
2,4,18,0,5,1,3,0.32,0.303,0.93,0.2239,51
2,5,17,0,1,1,3,0.56,0.5303,0.88,0.2537,229
3,8,16,0,5,1,1,0.78,0.7424,0.62,0.1045,343
1,3,15,0,5,1,1,0.46,0.4545,0.24,0.2537,238
4,11,15,0,3,1,1,0.36,0.3333,0.32,0.3284,179
4,10,11,0,4,1,1,0.48,0.4697,0.55,0.5224,129
4,10,0,0,2,1,2,0.38,0.3939,0.82,0.2239,31
3,7,9,0,6,0,1,0.82,0.7576,0.46,0.2985,174
2,3,15,0,0,0,2,0.44,0.4394,0.88,0.194,421
4,10,6,0,5,1,3,0.54,0.5152,0.94,0.1642,131
2,6,8,0,0,0,1,0.64,0.6061,0.73,0.0896,181
1,2,15,0,4,1,1,0.2,0.197,0.25,0.2537,50
2,5,12,0,5,1,1,0.56,0.5303,0.49,0.3582,246
2,5,4,0,4,1,1,0.46,0.4545,0.77,0.194,2
4,11,12,0,0,0,1,0.5,0.4848,0.48,0.0896,585
4,12,22,0,1,1,2,0.36,0.3485,0.57,0.1642,107
1,1,17,0,4,1,2,0.26,0.2273,0.44,0.3284,385
4,10,15,0,2,1,3,0.3,0.2879,0.87,0.2537,124
2,5,17,1,1,0,1,0.82,0.7879,0.56,0.2985,405
4,11,15,0,2,1,2,0.3,0.2727,0.75,0.2985,155
1,3,13,0,5,1,2,0.38,0.3939,0.29,0.3881,224
3,6,22,0,5,1,3,0.82,0.8333,0.63,0.194,163
3,7,7,0,1,1,1,0.72,0.6818,0.7,0.0896,483
2,5,12,0,1,1,2,0.6,0.5606,0.83,0.2537,170
1,1,3,0,0,0,1,0.3,0.3333,0.81,0,52
1,1,14,0,3,1,3,0.22,0.197,0.93,0.3582,36
1,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,86
1,1,12,0,2,1,1,0.34,0.3333,0.87,0.1642,175
3,9,0,0,3,1,1,0.72,0.697,0.74,0.2537,37
1,2,6,0,6,0,1,0.12,0.1364,0.93,0.194,2
3,9,1,0,3,1,1,0.62,0.5909,0.78,0.0896,8
4,12,23,0,3,1,1,0.24,0.2121,0.93,0.3881,16
2,4,1,0,2,1,1,0.64,0.6212,0.57,0.1642,11
3,9,9,0,0,0,1,0.66,0.6212,0.74,0,227
4,10,7,0,6,0,1,0.4,0.4091,0.82,0,65
3,6,13,0,3,1,2,0.82,0.7879,0.56,0.2537,147
1,12,12,0,0,0,1,0.3,0.2879,0.42,0.194,196
3,7,22,0,4,1,1,0.82,0.803,0.59,0.1343,225
3,6,4,0,4,1,2,0.7,0.6667,0.79,0.1343,7
4,9,21,0,2,1,1,0.6,0.6212,0.56,0.2985,297
3,7,10,0,1,1,1,0.8,0.7273,0.43,0.2537,174
3,9,10,0,6,0,1,0.74,0.697,0.7,0.3881,422
2,6,0,0,5,1,1,0.62,0.6212,0.38,0.2836,68
4,10,15,0,4,1,1,0.66,0.6061,0.78,0.194,155
4,9,16,0,3,1,1,0.74,0.6667,0.45,0.2836,468
2,6,3,0,3,1,1,0.64,0.5758,0.89,0.0896,3
4,10,11,0,3,1,1,0.58,0.5455,0.64,0,236
4,10,19,0,3,1,1,0.7,0.6515,0.65,0,593
4,10,10,0,3,1,1,0.66,0.6061,0.78,0.1642,175
1,2,0,0,6,0,1,0.26,0.2727,0.7,0.1045,86
4,10,8,0,2,1,1,0.44,0.4394,0.72,0,408
4,11,3,0,1,1,2,0.3,0.2879,0.56,0.2239,4
2,5,5,0,3,1,3,0.36,0.3333,0.87,0.3284,9
3,9,23,0,6,0,2,0.62,0.5606,0.88,0,139
3,6,12,0,1,1,2,0.72,0.6667,0.54,0,170
3,9,0,0,6,0,1,0.66,0.5909,0.89,0.2537,150
1,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,83
3,8,18,0,2,1,1,0.72,0.6667,0.54,0.2239,625
4,12,21,0,5,1,1,0.3,0.303,0.75,0.1642,172
3,8,12,0,0,0,1,0.82,0.803,0.59,0.2836,374
2,5,19,1,1,0,1,0.8,0.7576,0.55,0.2985,395
3,7,11,0,6,0,2,0.72,0.6818,0.7,0.1045,439
4,10,1,0,3,1,2,0.52,0.5,0.77,0.194,16
1,12,13,1,2,0,1,0.4,0.4091,0.5,0.3284,121
3,8,20,0,0,0,1,0.7,0.6667,0.79,0.2537,181
1,12,23,1,1,0,1,0.26,0.2727,0.7,0.1045,29
3,7,18,0,1,1,1,0.76,0.6818,0.48,0.1343,872
2,6,23,0,5,1,1,0.58,0.5455,0.46,0.1045,171
3,8,0,0,5,1,1,0.66,0.6212,0.74,0.1045,54
1,2,3,0,3,1,1,0.28,0.303,0.7,0.0896,2
4,11,7,0,0,0,1,0.38,0.3939,0.87,0.2239,23
2,6,0,0,2,1,1,0.64,0.6061,0.65,0.0896,20
3,8,6,0,4,1,1,0.6,0.5606,0.83,0.1642,163
3,7,4,0,4,1,1,0.7,0.6515,0.61,0.1045,6
2,4,20,0,4,1,1,0.54,0.5152,0.77,0.194,337
3,8,17,0,1,1,1,0.8,0.7121,0.36,0.1642,818
1,2,12,0,6,0,2,0.26,0.2576,0.81,0.1642,221
1,2,19,0,3,1,1,0.54,0.5152,0.52,0.2836,335
4,11,7,0,5,1,1,0.24,0.2879,0.81,0,77
2,6,15,0,5,1,1,0.72,0.6515,0.39,0.194,377
2,6,4,0,2,1,3,0.5,0.4848,0.82,0.194,5
2,4,4,0,2,1,1,0.66,0.6212,0.44,0.2239,9
2,6,20,0,3,1,1,0.86,0.7727,0.39,0.2239,407
3,9,1,0,0,0,1,0.56,0.5303,0.73,0.2239,124
2,3,14,0,5,1,3,0.4,0.4091,0.54,0,229
1,2,0,0,3,1,1,0.44,0.4394,0.38,0.2836,31
1,1,8,0,5,1,1,0.24,0.2424,0.7,0.1343,447
4,11,1,0,4,1,1,0.34,0.3333,0.81,0.1343,15
2,4,10,0,4,1,1,0.4,0.4091,0.5,0.2985,141
3,6,4,0,5,1,1,0.66,0.6061,0.83,0.0896,9
1,1,17,0,5,1,2,0.22,0.2576,0.32,0.0896,349
3,8,9,0,3,1,1,0.7,0.6515,0.51,0.194,348
3,8,1,0,1,1,1,0.68,0.6364,0.83,0.1343,12
1,1,14,0,1,1,3,0.22,0.2273,0.93,0.194,61
1,3,9,0,2,1,1,0.48,0.4697,0.82,0.2836,342
4,10,8,0,2,1,1,0.5,0.4848,0.77,0.0896,499
1,3,19,0,2,1,1,0.58,0.5455,0.73,0.1343,555
1,3,9,0,0,0,1,0.3,0.303,0.52,0.1343,78
3,8,15,0,1,1,1,0.84,0.7576,0.41,0.2985,126
1,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,182
4,10,6,0,4,1,2,0.52,0.5,0.88,0.194,171
2,3,14,0,5,1,2,0.72,0.6515,0.42,0.1045,432
2,4,0,0,6,0,2,0.44,0.4394,0.54,0.2537,106
1,2,18,0,6,0,2,0.28,0.2424,0.93,0.4478,83
1,2,0,0,0,0,1,0.2,0.2273,0.64,0.1045,39
1,1,13,0,2,1,2,0.26,0.2727,0.56,0.1343,93
1,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,52
3,6,4,0,6,0,2,0.64,0.5758,0.83,0.1642,19
4,10,22,0,1,1,1,0.48,0.4697,0.75,0.1642,79
2,3,15,0,5,1,2,0.72,0.6515,0.42,0.1343,472
2,4,19,0,4,1,2,0.54,0.5152,0.77,0.2239,464
2,5,18,0,3,1,1,0.56,0.5303,0.73,0.2239,813
1,3,21,0,0,0,2,0.34,0.3182,0.53,0.2836,49
2,4,19,0,6,0,1,0.56,0.5303,0.83,0.2836,283
2,4,12,0,3,1,2,0.6,0.6212,0.46,0.4179,283
4,11,16,0,2,1,1,0.48,0.4697,0.44,0.1642,298
2,4,12,0,0,0,1,0.68,0.6364,0.65,0.2537,388
2,6,6,0,3,1,1,0.5,0.4848,0.63,0.2537,121
4,11,2,0,6,0,1,0.32,0.2727,0.39,0.6119,32
2,5,11,0,3,1,2,0.58,0.5455,0.81,0.1343,184
1,2,21,0,0,0,1,0.4,0.4091,0.35,0.3582,51
1,2,18,0,0,0,1,0.16,0.1212,0.4,0.4627,96
1,3,3,0,5,1,1,0.32,0.3182,0.57,0.194,3
4,10,6,0,2,1,1,0.42,0.4242,0.67,0.1642,172
4,11,3,0,6,0,2,0.34,0.3182,0.49,0.2537,28
2,4,16,0,6,0,1,0.38,0.3939,0.62,0.3284,196
4,12,13,0,0,0,2,0.38,0.3939,0.76,0.194,356
2,6,6,0,2,1,2,0.6,0.5455,0.88,0.1343,136
4,9,5,0,5,1,2,0.62,0.5455,0.94,0,22
2,3,0,0,5,1,1,0.24,0.2273,0.6,0.194,18
1,1,12,0,3,1,1,0.32,0.3333,0.53,0.1343,193
2,5,16,0,6,0,2,0.7,0.6364,0.21,0.194,591
4,12,7,0,5,1,1,0.22,0.2576,0.75,0.0896,199
3,7,5,0,0,0,1,0.68,0.6364,0.89,0.1343,9
3,8,22,0,5,1,2,0.7,0.6515,0.61,0,251
3,9,3,0,3,1,2,0.54,0.5152,0.94,0.0896,6
1,2,15,0,0,0,2,0.4,0.4091,0.3,0.2985,162
2,4,8,0,2,1,1,0.58,0.5455,0.83,0.2985,449
3,7,0,0,5,1,2,0.7,0.6515,0.54,0.1642,95
2,6,12,0,0,0,1,0.62,0.6212,0.57,0,615
1,3,17,0,1,1,1,0.64,0.6212,0.53,0.2239,721
2,5,18,0,1,1,1,0.7,0.6667,0.74,0.2836,453
3,8,13,0,5,1,2,0.76,0.7121,0.62,0.194,232
1,2,6,1,1,0,2,0.42,0.4242,0.26,0.2985,8
4,10,12,0,0,0,1,0.38,0.3939,0.5,0.194,314
2,5,19,0,4,1,2,0.6,0.6061,0.64,0.194,364
3,7,15,0,2,1,1,0.82,0.7424,0.43,0,162
1,1,20,0,1,1,3,0.16,0.1667,0.59,0.1642,78
1,12,10,0,2,1,2,0.32,0.3333,0.66,0.0896,60
1,1,16,0,1,1,2,0.24,0.2424,0.93,0.1642,122
2,5,8,0,2,1,2,0.56,0.5303,0.83,0.2836,459
2,5,1,0,2,1,3,0.56,0.5303,0.88,0.1343,19
3,9,15,0,4,1,3,0.66,0.5909,0.89,0.2985,139
2,4,15,1,1,0,1,0.8,0.697,0.33,0.4478,275
2,4,7,0,0,0,1,0.32,0.303,0.57,0.2239,33
1,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,52
1,3,22,0,5,1,1,0.34,0.2879,0.31,0.4925,107
3,9,21,0,1,1,1,0.56,0.5303,0.49,0.1642,285
4,10,3,0,5,1,1,0.36,0.3636,0.76,0.0896,6
1,1,18,0,5,1,1,0.5,0.4848,0.29,0.2537,419
2,3,23,0,5,1,1,0.6,0.5909,0.69,0.2537,176
2,4,4,0,6,0,2,0.42,0.4242,0.54,0.2239,7
2,5,19,0,0,0,2,0.6,0.6061,0.64,0.1642,383
1,2,18,1,1,0,2,0.24,0.2121,0.87,0.3582,66
4,10,0,0,5,1,2,0.56,0.5303,0.83,0.1045,56
2,6,1,0,2,1,1,0.6,0.6212,0.49,0.2537,13
3,7,15,0,3,1,3,0.64,0.5606,0.94,0.1343,46
3,7,17,0,2,1,1,0.8,0.803,0.66,0,513
2,4,10,0,1,1,2,0.54,0.5152,0.45,0.3582,90
2,4,4,0,0,0,1,0.36,0.3636,0.76,0.1045,7
4,10,5,0,1,1,2,0.36,0.3636,0.76,0.1045,21
4,12,5,0,4,1,1,0.26,0.2424,0.56,0.2537,24
1,2,22,0,0,0,1,0.4,0.4091,0.35,0.2985,36
2,3,13,0,4,1,1,0.58,0.5455,0.78,0.0896,298
2,3,21,0,6,0,3,0.44,0.4394,1,0.194,104
2,6,18,0,3,1,1,0.72,0.6515,0.32,0.4478,744
1,3,14,0,6,0,1,0.34,0.3182,0.27,0.2836,379
4,10,10,0,5,1,1,0.52,0.5,0.36,0.2985,275
2,5,9,0,6,0,1,0.6,0.6061,0.64,0.2239,225
1,2,23,0,0,0,2,0.36,0.3485,0.62,0.1642,59
2,4,6,0,2,1,1,0.34,0.3485,0.71,0.1045,103
2,6,20,0,3,1,2,0.74,0.7121,0.79,0.2537,256
3,9,12,0,1,1,2,0.62,0.6061,0.69,0.194,295
4,10,9,0,2,1,2,0.52,0.5,0.77,0.0896,227
4,11,15,1,5,0,1,0.36,0.3333,0.37,0.4179,216
1,2,8,0,6,0,1,0.38,0.3939,0.17,0.5821,45
1,3,19,0,5,1,1,0.66,0.6212,0.44,0.1343,190
1,2,9,0,0,0,2,0.24,0.2273,0.56,0.2537,93
3,8,8,0,0,0,3,0.62,0.5758,0.83,0.4179,8
4,11,0,0,2,1,2,0.32,0.3333,0.66,0.0896,26
3,8,2,0,4,1,1,0.64,0.6061,0.69,0.194,15
3,8,10,0,3,1,1,0.8,0.7273,0.43,0.2239,113
1,12,23,0,4,1,3,0.4,0.4091,0.87,0,11
2,6,19,0,3,1,1,0.56,0.5303,0.73,0.2985,538
4,9,11,0,0,0,1,0.6,0.6212,0.43,0.2239,591
2,6,23,0,5,1,1,0.62,0.5758,0.83,0.1343,178
3,9,2,0,2,1,2,0.54,0.5152,0.88,0.1642,5
1,12,18,0,3,1,2,0.44,0.4394,1,0.2985,280
2,6,8,0,4,1,1,0.6,0.6061,0.64,0.3284,719
4,11,23,0,6,0,1,0.36,0.3788,0.81,0,69
3,8,17,0,2,1,3,0.76,0.7273,0.66,0.2537,812
1,3,11,0,0,0,1,0.34,0.3485,0.39,0.1045,203
3,8,8,0,0,0,1,0.7,0.6667,0.79,0.2239,92
3,7,23,0,4,1,1,0.76,0.7424,0.75,0.194,123
1,3,15,0,1,1,1,0.64,0.6212,0.57,0.2239,286
2,3,3,0,2,1,1,0.26,0.2273,0.3,0.3284,4
1,3,15,0,2,1,1,0.7,0.6364,0.39,0.2239,264
1,1,1,0,0,0,1,0.34,0.3333,0.42,0.194,72
2,3,15,0,3,1,3,0.28,0.2576,0.81,0.2985,70
2,6,21,0,4,1,3,0.62,0.5758,0.83,0.2537,188
2,4,23,0,1,1,2,0.64,0.6212,0.47,0.2239,48
1,3,21,0,5,1,1,0.36,0.3333,0.34,0.3284,141
4,11,11,0,5,1,1,0.4,0.4091,0.5,0.194,251
1,12,1,0,5,1,1,0.24,0.2273,0.6,0.194,9
3,6,22,0,6,0,1,0.68,0.6364,0.47,0.194,187
3,7,15,0,1,1,1,0.86,0.803,0.47,0.2537,237
1,2,12,0,5,1,3,0.54,0.5152,0.6,0.4627,115
4,10,10,0,0,0,1,0.5,0.4848,0.48,0.2985,443
3,7,22,0,2,1,1,0.68,0.6364,0.74,0.2537,257
1,1,18,0,6,0,2,0.3,0.2879,0.45,0.2537,84
2,5,23,0,3,1,1,0.62,0.5909,0.78,0.1045,133
3,9,22,0,0,0,1,0.58,0.5455,0.49,0.2537,189
1,1,22,0,3,1,1,0.3,0.303,0.52,0.1642,59
4,10,18,0,4,1,1,0.46,0.4545,0.44,0.1642,692
4,9,5,0,5,1,1,0.56,0.5303,0.88,0,38
4,12,10,0,2,1,3,0.46,0.4545,0.94,0.2836,50
2,5,9,0,4,1,2,0.54,0.5152,0.88,0.0896,216
3,8,20,0,1,1,1,0.8,0.7576,0.55,0,286
3,8,8,0,1,1,2,0.72,0.6667,0.51,0.0896,673
3,8,20,0,6,0,1,0.7,0.6364,0.45,0.1045,341
2,6,16,0,5,1,1,0.76,0.6667,0.29,0.2985,523
4,12,6,0,2,1,1,0.2,0.2576,0.8,0,92
2,4,14,0,1,1,2,0.5,0.4848,0.55,0.1343,218
3,9,17,0,5,1,1,0.72,0.6667,0.51,0.194,894
4,10,14,0,5,1,2,0.6,0.6061,0.64,0.1343,351
2,4,1,0,3,1,1,0.52,0.5,0.34,0.194,14
1,2,9,0,5,1,2,0.42,0.4242,0.77,0.194,169
2,4,21,0,1,1,3,0.48,0.4697,0.41,0.4179,165
3,7,22,0,1,1,1,0.76,0.7273,0.66,0.2239,140
4,11,20,0,5,1,1,0.36,0.3333,0.43,0.2836,186
4,11,11,0,5,1,1,0.4,0.4091,0.66,0.1045,226
1,1,23,0,0,0,2,0.16,0.1818,0.93,0.1045,37
1,3,11,0,5,1,2,0.36,0.3333,0.34,0.3582,187
1,1,22,0,3,1,1,0.18,0.1667,0.47,0.2537,78
4,12,13,0,6,0,1,0.34,0.303,0.34,0.4179,286
3,8,2,0,2,1,1,0.54,0.5152,0.73,0.1045,10
2,4,22,0,3,1,1,0.5,0.4848,0.51,0,192
4,12,7,0,2,1,2,0.46,0.4545,0.94,0.194,234
4,11,22,0,3,1,3,0.42,0.4242,0.88,0.2239,46
2,5,13,0,2,1,1,0.9,0.8333,0.39,0.1642,147
2,3,12,0,3,1,2,0.54,0.5152,0.39,0.3582,268
2,4,8,0,5,1,1,0.38,0.3939,0.46,0.1642,563
2,6,8,0,1,1,1,0.58,0.5455,0.49,0.4478,476
4,12,15,0,5,1,1,0.4,0.4091,0.47,0.1642,309
3,9,11,0,2,1,1,0.7,0.6515,0.61,0.1642,153
4,9,7,0,4,1,1,0.6,0.5455,0.88,0.1343,283
4,12,17,0,3,1,1,0.4,0.4091,0.5,0.3881,562
1,1,19,0,6,0,2,0.32,0.303,0.39,0.2537,74
4,11,0,0,0,0,1,0.38,0.3939,0.66,0.1642,93
2,4,23,0,2,1,2,0.4,0.4091,0.94,0.2537,39
3,7,2,0,3,1,1,0.74,0.697,0.66,0.1343,8
2,4,12,0,4,1,1,0.46,0.4545,0.38,0.1642,199
3,7,11,0,6,0,1,0.74,0.6667,0.48,0.2239,396
2,4,22,0,0,0,3,0.34,0.2879,0.87,0.5224,13
2,4,3,0,5,1,1,0.34,0.3333,0.61,0.1642,11
1,12,18,0,5,1,1,0.36,0.3333,0.5,0.2537,95
3,9,7,0,1,1,1,0.52,0.5,0.77,0,492
2,6,19,0,4,1,1,0.62,0.5758,0.83,0.2836,327
2,6,21,0,5,1,1,0.64,0.5909,0.78,0.0896,208
1,2,7,0,6,0,1,0.38,0.3939,0.17,0.5224,22
1,2,19,0,6,0,1,0.32,0.303,0.49,0.2537,94
2,4,8,0,4,1,1,0.32,0.303,0.66,0.3284,624
2,5,16,0,0,0,2,0.62,0.6061,0.61,0,544
1,1,2,0,2,1,1,0.3,0.2879,0.42,0.2239,2
1,1,16,0,2,1,1,0.46,0.4545,0.63,0.5522,219
4,11,5,0,0,0,2,0.42,0.4242,0.67,0.2836,4
2,6,7,0,5,1,1,0.56,0.5303,0.83,0.1642,430
1,2,2,0,0,0,1,0.26,0.2273,0.6,0.3284,20
4,12,20,0,3,1,1,0.34,0.303,0.46,0.3881,293
1,12,3,0,1,1,1,0.2,0.2576,0.75,0,3
1,1,10,0,4,1,2,0.24,0.2576,0.52,0.0896,86
2,5,6,1,1,0,1,0.62,0.5909,0.73,0.1642,20
3,8,15,0,6,0,1,0.8,0.7273,0.46,0.2836,562
2,4,2,0,4,1,1,0.36,0.3485,0.76,0.1343,3
3,6,9,0,6,0,1,0.72,0.6515,0.45,0.2537,186
2,4,18,0,0,0,2,0.46,0.4545,0.31,0,172
2,5,14,0,5,1,2,0.66,0.6212,0.74,0.2836,242
1,1,4,0,0,0,1,0.24,0.2576,0.3,0,5
2,6,11,0,6,0,1,0.66,0.6212,0.39,0.1642,566
2,6,7,0,2,1,1,0.48,0.4697,0.77,0.2985,569
4,11,2,0,0,0,1,0.4,0.4091,0.62,0.2836,56
1,2,17,0,4,1,1,0.34,0.3333,0.34,0.1343,399
2,5,7,0,0,0,2,0.42,0.4242,0.77,0.0896,33
3,9,17,0,5,1,1,0.7,0.6667,0.79,0.2537,505
4,9,21,0,0,0,2,0.52,0.5,0.48,0.1045,196
3,8,23,0,4,1,1,0.66,0.6212,0.74,0.1045,132
3,9,18,0,2,1,1,0.64,0.6212,0.36,0.1642,877
2,3,7,0,1,1,1,0.2,0.1818,0.32,0.3284,110
2,6,17,0,3,1,1,0.92,0.8485,0.35,0.2239,506
4,9,2,0,3,1,1,0.6,0.5455,0.88,0.2537,9
2,6,19,0,0,0,1,0.64,0.6212,0.53,0.1642,390
2,4,13,0,2,1,2,0.36,0.3333,0.63,0.4179,56
3,6,19,0,4,1,1,0.74,0.6515,0.33,0.194,455
4,9,12,0,0,0,1,0.56,0.5303,0.43,0.1045,776
2,6,20,0,4,1,1,0.62,0.5758,0.83,0.3284,201
1,2,13,0,4,1,2,0.42,0.4242,0.77,0,137
1,3,2,0,4,1,1,0.5,0.4848,0.59,0,19
4,11,17,0,4,1,1,0.4,0.4091,0.2,0.2985,592
4,11,21,0,5,1,1,0.36,0.3788,0.71,0,85
1,12,5,0,5,1,2,0.24,0.2576,0.6,0.0896,15
4,12,10,0,2,1,1,0.44,0.4394,0.77,0.0896,184
2,4,12,0,0,0,1,0.46,0.4545,0.38,0.3881,354
2,6,11,0,1,1,1,0.66,0.6212,0.41,0.2985,159
4,11,20,0,4,1,1,0.3,0.2879,0.42,0.2836,169
2,5,15,0,5,1,1,0.6,0.6212,0.38,0.3881,260
4,10,1,0,5,1,1,0.54,0.5152,0.68,0.1045,46
1,3,4,0,6,0,2,0.3,0.303,0.93,0.1642,1
4,10,4,0,3,1,1,0.5,0.4848,0.77,0.0896,6
4,12,18,0,5,1,2,0.38,0.3939,0.71,0.1045,498
3,8,16,0,5,1,2,0.86,0.7879,0.41,0.2239,492
3,8,18,0,3,1,1,0.74,0.6818,0.55,0.2985,621
2,4,6,0,4,1,1,0.32,0.303,0.81,0.2537,64
1,2,6,0,6,0,1,0.4,0.4091,0.17,0.4179,6
2,6,11,0,6,0,1,0.58,0.5455,0.46,0.2836,536
3,6,18,0,5,1,1,0.96,0.8636,0.31,0,464
1,1,19,0,4,1,2,0.42,0.4242,0.71,0.1642,330
1,1,7,0,5,1,2,0.24,0.2879,0.65,0,205
2,5,11,0,5,1,2,0.7,0.6515,0.61,0,258
4,11,6,0,1,1,2,0.44,0.4394,0.72,0.2239,114
1,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239,64
2,5,9,0,0,0,1,0.58,0.5455,0.83,0.2537,134
2,3,23,0,1,1,1,0.46,0.4545,0.88,0.0896,30
4,11,20,0,4,1,1,0.3,0.303,0.52,0.1642,252
4,11,8,0,4,1,1,0.3,0.2879,0.33,0.2836,668
4,12,10,0,1,1,1,0.24,0.2273,0.67,0.194,108
4,11,6,0,6,0,1,0.26,0.2424,0.6,0.2537,23
1,3,11,0,1,1,1,0.44,0.4394,0.44,0.2239,150
1,3,21,0,4,1,1,0.54,0.5152,0.68,0.2836,243
3,7,13,0,0,0,1,0.92,0.8333,0.33,0.2537,420
1,2,16,0,3,1,1,0.34,0.3636,0.25,0,94
2,5,14,0,3,1,1,0.68,0.6364,0.65,0.1343,248
4,10,1,0,4,1,1,0.46,0.4545,0.82,0.2239,14
1,1,22,0,5,1,1,0.24,0.2121,0.65,0.3582,26
2,5,14,0,6,0,1,0.72,0.6515,0.42,0,456
3,6,3,0,5,1,1,0.72,0.6667,0.58,0.194,8
3,7,21,0,6,0,2,0.6,0.5455,0.88,0.1642,163
1,3,11,0,5,1,1,0.54,0.5152,0.52,0.2836,159
1,3,16,0,0,0,1,0.46,0.4545,0.41,0.3881,256
1,2,12,0,4,1,1,0.5,0.4848,0.42,0.2537,224
1,3,17,0,2,1,1,0.36,0.3485,0.27,0.2239,248
1,3,22,0,0,0,2,0.22,0.197,1,0.3881,10
1,3,17,0,2,1,2,0.36,0.3485,0.62,0.194,217
1,2,19,0,4,1,1,0.14,0.1667,0.28,0.1045,112
3,7,0,0,4,1,1,0.74,0.6667,0.51,0.1045,88
3,9,13,0,0,0,1,0.74,0.6818,0.58,0.1045,350
4,11,15,0,6,0,2,0.36,0.3182,0.46,0.4478,448
2,3,2,0,1,1,1,0.46,0.4545,0.88,0.2239,20
1,1,7,0,3,1,3,0.22,0.2121,0.87,0.2985,30
4,11,20,0,2,1,1,0.26,0.2273,0.75,0.3284,232
1,2,15,0,1,1,2,0.38,0.3939,0.54,0.0896,50
3,8,16,0,3,1,3,0.68,0.6364,0.79,0,150
2,4,8,0,5,1,1,0.3,0.2727,0.49,0.3284,508
2,5,21,0,2,1,2,0.64,0.6212,0.61,0.4478,225
3,7,4,0,3,1,1,0.72,0.6818,0.7,0.1343,6
3,7,5,0,4,1,2,0.72,0.6818,0.7,0.1045,40
4,10,0,0,0,0,1,0.36,0.3788,0.87,0,88
4,10,0,0,6,0,1,0.4,0.4091,0.62,0.194,96
3,9,14,0,3,1,1,0.62,0.6212,0.38,0.2537,286
1,2,23,0,3,1,1,0.22,0.2576,0.55,0.0896,39
3,7,1,0,5,1,1,0.66,0.6212,0.5,0,31
4,12,10,0,6,0,2,0.4,0.4091,0.87,0.1343,287
3,7,7,0,4,1,1,0.76,0.697,0.55,0,343
4,11,8,0,5,1,1,0.22,0.2273,0.44,0.194,375
3,7,20,0,0,0,1,0.74,0.697,0.66,0.1045,303
2,4,1,0,5,1,1,0.5,0.4848,0.45,0.0896,31
